id,city,lat,lng,country,population
2381,Rubtsovsk,51.52,81.21,Russia,161065
2397,Salavat,53.3703,55.93,Russia,159893
2400,Nakhodka,42.8374,132.8874,Russia,159551
2401,Nakhodka,67.7504,77.52,Russia,159551
2407,York,53.9704,-1.08,United Kingdom,158947
2411,Maykop,44.61,40.12,Russia,158451
2414,Odense,55.4004,10.3833,Denmark,158222
2417,Albacete,39.0003,-1.87,Spain,158094
2418,Melitopol,46.8378,35.3775,Ukraine,158000
2428,Ussuriysk,43.8,132.02,Russia,157068
2430,Tiraspol,46.8531,29.64,Moldova,157000
2439,Livorno,43.5511,10.3023,Italy,156274
2445,Shkodër,42.0685,19.5188,Albania,155767
2447,Sibiu,45.7971,24.1371,Romania,155565
2449,Barysaw,54.226,28.4922,Belarus,155389
2451,Innsbruck,47.2804,11.41,Austria,155214
2452,Foggia,41.4605,15.56,Italy,155203
2468,Kovrov,56.3604,41.33,Russia,154224
2473,Lemosos,34.6754,33.0333,Cyprus,154000
2495,Novokuybishevsk,53.12,49.9199,Russia,152334
2497,Limoges,45.83,1.25,France,152199
2506,Dundee,56.4704,-3.0,United Kingdom,151592
2509,Bălți,47.7591,27.9053,Moldova,151355
2513,Uzhgorod,48.63,22.25,Ukraine,150832
2530,Tirgu Mures,46.5582,24.5578,Romania,149433
2531,Perugia,43.1104,12.39,Italy,149125
2551,Kolomna,55.08,38.785,Russia,147690
2557,Trondheim,63.4167,10.4167,Norway,147139
2561,Aix-en-Provence,43.52,5.45,France,146821
2569,Perpignan,42.7,2.9,France,146620
2573,Brugge,51.2204,3.23,Belgium,146469
2579,Podgorica,42.466,19.2663,Montenegro,145850
2583,Biarritz,43.4733,-1.5616,France,145348
2588,Brest,48.3904,-4.495,France,144899
2591,Le Mans,48.0004,0.1,France,144515
2597,Székesfehérvár,47.1947,18.4081,Hungary,144319
2599,Huelva,37.2504,-6.9299,Spain,144174
2608,Ipswich,52.0703,1.17,United Kingdom,143767
2609,Logroño,42.4704,-2.43,Spain,143698
2610,Stara Zagora,42.4231,25.6227,Bulgaria,143431
2613,Amiens,49.9004,2.3,France,143086
2619,Pyatigorsk,44.08,43.09,Russia,142865
2623,Arzamas,55.4,43.8,Russia,142597
2625,Durrës,41.3178,19.4482,Albania,142432
2633,Arnhem,51.988,5.923,Netherlands,141674
2636,Melilla,35.3,-2.95,Spain,141308
2644,Almetyevsk,54.9004,52.3199,Russia,140437
2648,Orekhovo-Zuevo,55.82,38.98,Russia,140247
2651,Peterborough,52.5804,-0.25,United Kingdom,140141
2652,Badajoz,38.8804,-6.97,Spain,140133
2659,Göttingen,51.5204,9.92,Germany,139419
2670,Bremerhaven,53.5504,8.58,Germany,137751
